beta,starting point,iterations
0.02,-100,238
0.02,-90,237
0.02,-80,235
0.02,-70,234
0.02,-60,232
0.02,-50,230
0.02,-40,227
0.02,-30,223
0.02,-20,218
0.02,-10,209
0.02,0,179
0.02,10,211
0.02,20,219
0.02,30,224
0.02,40,227
0.02,50,230
0.02,60,232
0.02,70,234
0.02,80,235
0.02,90,237
0.03,-100,155
0.03,-90,155
0.03,-80,154
0.03,-70,153
0.03,-60,151
0.03,-50,150
0.03,-40,148
0.03,-30,146
0.03,-20,143
0.03,-10,137
0.03,0,117
0.03,10,138
0.03,20,143
0.03,30,146
0.03,40,148
0.03,50,150
0.03,60,152
0.03,70,153
0.03,80,154
0.03,90,155
0.04,-100,114
0.04,-90,113
0.04,-80,113
0.04,-70,112
0.04,-60,111
0.04,-50,110
0.04,-40,109
0.04,-30,107
0.04,-20,105
0.04,-10,100
0.04,0,86
0.04,10,101
0.04,20,105
0.04,30,107
0.04,40,109
0.04,50,110
0.04,60,111
0.04,70,112
0.04,80,113
0.04,90,114
0.05,-100,89
0.05,-90,89
0.05,-80,88
0.05,-70,88
0.05,-60,87
0.05,-50,86
0.05,-40,85
0.05,-30,84
0.05,-20,82
0.05,-10,79
0.05,0,67
0.05,10,79
0.05,20,82
0.05,30,84
0.05,40,85
0.05,50,86
0.05,60,87
0.05,70,88
0.05,80,88
0.05,90,89
0.06,-100,73
0.06,-90,72
0.06,-80,72
0.06,-70,71
0.06,-60,71
0.06,-50,70
0.06,-40,69
0.06,-30,68
0.06,-20,67
0.06,-10,64
0.06,0,55
0.06,10,65
0.06,20,67
0.06,30,68
0.06,40,69
0.06,50,70
0.06,60,71
0.06,70,71
0.06,80,72
0.06,90,72
0.07,-100,61
0.07,-90,60
0.07,-80,60
0.07,-70,60
0.07,-60,59
0.07,-50,59
0.07,-40,58
0.07,-30,57
0.07,-20,56
0.07,-10,54
0.07,0,46
0.07,10,54
0.07,20,56
0.07,30,57
0.07,40,58
0.07,50,59
0.07,60,59
0.07,70,60
0.07,80,60
0.07,90,60
0.08,-100,52
0.08,-90,52
0.08,-80,51
0.08,-70,51
0.08,-60,51
0.08,-50,50
0.08,-40,49
0.08,-30,49
0.08,-20,48
0.08,-10,46
0.08,0,39
0.08,10,46
0.08,20,48
0.08,30,49
0.08,40,50
0.08,50,50
0.08,60,51
0.08,70,51
0.08,80,51
0.08,90,52
0.09,-100,45
0.09,-90,45
0.09,-80,44
0.09,-70,44
0.09,-60,44
0.09,-50,43
0.09,-40,43
0.09,-30,42
0.09,-20,41
0.09,-10,40
0.09,0,34
0.09,10,40
0.09,20,41
0.09,30,42
0.09,40,43
0.09,50,43
0.09,60,44
0.09,70,44
0.09,80,44
0.09,90,45
0.1,-100,39
0.1,-90,39
0.1,-80,39
0.1,-70,39
0.1,-60,38
0.1,-50,38
0.1,-40,37
0.1,-30,37
0.1,-20,36
0.1,-10,35
0.1,0,30
0.1,10,35
0.1,20,36
0.1,30,37
0.1,40,38
0.1,50,38
0.1,60,38
0.1,70,39
0.1,80,39
0.1,90,39
0.11,-100,35
0.11,-90,34
0.11,-80,34
0.11,-70,34
0.11,-60,34
0.11,-50,33
0.11,-40,33
0.11,-30,33
0.11,-20,32
0.11,-10,31
0.11,0,26
0.11,10,31
0.11,20,32
0.11,30,33
0.11,40,33
0.11,50,33
0.11,60,34
0.11,70,34
0.11,80,34
0.11,90,34
0.12,-100,31
0.12,-90,31
0.12,-80,30
0.12,-70,30
0.12,-60,30
0.12,-50,30
0.12,-40,29
0.12,-30,29
0.12,-20,28
0.12,-10,27
0.12,0,23
0.12,10,27
0.12,20,28
0.12,30,29
0.12,40,29
0.12,50,30
0.12,60,30
0.12,70,30
0.12,80,30
0.12,90,31
0.13,-100,27
0.13,-90,27
0.13,-80,27
0.13,-70,27
0.13,-60,27
0.13,-50,27
0.13,-40,26
0.13,-30,26
0.13,-20,25
0.13,-10,24
0.13,0,21
0.13,10,24
0.13,20,25
0.13,30,26
0.13,40,26
0.13,50,27
0.13,60,27
0.13,70,27
0.13,80,27
0.13,90,27
0.14,-100,25
0.14,-90,24
0.14,-80,24
0.14,-70,24
0.14,-60,24
0.14,-50,24
0.14,-40,23
0.14,-30,23
0.14,-20,23
0.14,-10,22
0.14,0,19
0.14,10,22
0.14,20,23
0.14,30,23
0.14,40,24
0.14,50,24
0.14,60,24
0.14,70,24
0.14,80,24
0.14,90,25
0.15,-100,22
0.15,-90,22
0.15,-80,22
0.15,-70,22
0.15,-60,22
0.15,-50,21
0.15,-40,21
0.15,-30,21
0.15,-20,20
0.15,-10,20
0.15,0,17
0.15,10,20
0.15,20,20
0.15,30,21
0.15,40,21
0.15,50,21
0.15,60,22
0.15,70,22
0.15,80,22
0.15,90,22
0.16,-100,20
0.16,-90,20
0.16,-80,20
0.16,-70,20
0.16,-60,19
0.16,-50,19
0.16,-40,19
0.16,-30,19
0.16,-20,18
0.16,-10,18
0.16,0,15
0.16,10,18
0.16,20,18
0.16,30,19
0.16,40,19
0.16,50,19
0.16,60,19
0.16,70,20
0.16,80,20
0.16,90,20
0.17,-100,18
0.17,-90,18
0.17,-80,18
0.17,-70,18
0.17,-60,17
0.17,-50,17
0.17,-40,17
0.17,-30,17
0.17,-20,16
0.17,-10,16
0.17,0,14
0.17,10,16
0.17,20,17
0.17,30,17
0.17,40,17
0.17,50,17
0.17,60,17
0.17,70,18
0.17,80,18
0.17,90,18
0.18,-100,16
0.18,-90,16
0.18,-80,16
0.18,-70,16
0.18,-60,16
0.18,-50,16
0.18,-40,15
0.18,-30,15
0.18,-20,15
0.18,-10,14
0.18,0,12
0.18,10,14
0.18,20,15
0.18,30,15
0.18,40,15
0.18,50,16
0.18,60,16
0.18,70,16
0.18,80,16
0.18,90,16
0.19,-100,14
0.19,-90,14
0.19,-80,14
0.19,-70,14
0.19,-60,14
0.19,-50,14
0.19,-40,14
0.19,-30,14
0.19,-20,13
0.19,-10,13
0.19,0,11
0.19,10,13
0.19,20,13
0.19,30,14
0.19,40,14
0.19,50,14
0.19,60,14
0.19,70,14
0.19,80,14
0.19,90,14
0.2,-100,13
0.2,-90,13
0.2,-80,13
0.2,-70,13
0.2,-60,12
0.2,-50,12
0.2,-40,12
0.2,-30,12
0.2,-20,12
0.2,-10,11
0.2,0,10
0.2,10,11
0.2,20,12
0.2,30,12
0.2,40,12
0.2,50,12
0.2,60,12
0.2,70,13
0.2,80,13
0.2,90,13
0.21,-100,11
0.21,-90,11
0.21,-80,11
0.21,-70,11
0.21,-60,11
0.21,-50,11
0.21,-40,11
0.21,-30,11
0.21,-20,10
0.21,-10,10
0.21,0,9
0.21,10,10
0.21,20,10
0.21,30,11
0.21,40,11
0.21,50,11
0.21,60,11
0.21,70,11
0.21,80,11
0.21,90,11
0.22,-100,10
0.22,-90,10
0.22,-80,10
0.22,-70,10
0.22,-60,10
0.22,-50,10
0.22,-40,9
0.22,-30,9
0.22,-20,9
0.22,-10,9
0.22,0,8
0.22,10,9
0.22,20,9
0.22,30,9
0.22,40,9
0.22,50,10
0.22,60,10
0.22,70,10
0.22,80,10
0.22,90,10
0.23,-100,8
0.23,-90,8
0.23,-80,8
0.23,-70,8
0.23,-60,8
0.23,-50,8
0.23,-40,8
0.23,-30,8
0.23,-20,8
0.23,-10,7
0.23,0,6
0.23,10,7
0.23,20,8
0.23,30,8
0.23,40,8
0.23,50,8
0.23,60,8
0.23,70,8
0.23,80,8
0.23,90,8
0.24,-100,7
0.24,-90,7
0.24,-80,7
0.24,-70,7
0.24,-60,6
0.24,-50,6
0.24,-40,6
0.24,-30,6
0.24,-20,6
0.24,-10,6
0.24,0,5
0.24,10,6
0.24,20,6
0.24,30,6
0.24,40,6
0.24,50,6
0.24,60,6
0.24,70,7
0.24,80,7
0.24,90,7
0.25,-100,1
0.25,-90,1
0.25,-80,1
0.25,-70,1
0.25,-60,1
0.25,-50,1
0.25,-40,1
0.25,-30,1
0.25,-20,1
0.25,-10,1
0.25,0,1
0.25,10,1
0.25,20,1
0.25,30,1
0.25,40,1
0.25,50,1
0.25,60,1
0.25,70,1
0.25,80,1
0.25,90,1
0.26,-100,7
0.26,-90,7
0.26,-80,7
0.26,-70,7
0.26,-60,6
0.26,-50,6
0.26,-40,6
0.26,-30,6
0.26,-20,6
0.26,-10,6
0.26,0,5
0.26,10,6
0.26,20,6
0.26,30,6
0.26,40,6
0.26,50,6
0.26,60,6
0.26,70,7
0.26,80,7
0.26,90,7
0.27,-100,8
0.27,-90,8
0.27,-80,8
0.27,-70,8
0.27,-60,8
0.27,-50,8
0.27,-40,8
0.27,-30,8
0.27,-20,8
0.27,-10,7
0.27,0,6
0.27,10,7
0.27,20,8
0.27,30,8
0.27,40,8
0.27,50,8
0.27,60,8
0.27,70,8
0.27,80,8
0.27,90,8
0.28,-100,10
0.28,-90,10
0.28,-80,10
0.28,-70,10
0.28,-60,10
0.28,-50,10
0.28,-40,9
0.28,-30,9
0.28,-20,9
0.28,-10,9
0.28,0,8
0.28,10,9
0.28,20,9
0.28,30,9
0.28,40,9
0.28,50,10
0.28,60,10
0.28,70,10
0.28,80,10
0.28,90,10
0.29,-100,11
0.29,-90,11
0.29,-80,11
0.29,-70,11
0.29,-60,11
0.29,-50,11
0.29,-40,11
0.29,-30,11
0.29,-20,10
0.29,-10,10
0.29,0,9
0.29,10,10
0.29,20,10
0.29,30,11
0.29,40,11
0.29,50,11
0.29,60,11
0.29,70,11
0.29,80,11
0.29,90,11
0.3,-100,13
0.3,-90,13
0.3,-80,13
0.3,-70,13
0.3,-60,12
0.3,-50,12
0.3,-40,12
0.3,-30,12
0.3,-20,12
0.3,-10,11
0.3,0,10
0.3,10,11
0.3,20,12
0.3,30,12
0.3,40,12
0.3,50,12
0.3,60,12
0.3,70,13
0.3,80,13
0.3,90,13
0.31,-100,14
0.31,-90,14
0.31,-80,14
0.31,-70,14
0.31,-60,14
0.31,-50,14
0.31,-40,14
0.31,-30,14
0.31,-20,13
0.31,-10,13
0.31,0,11
0.31,10,13
0.31,20,13
0.31,30,14
0.31,40,14
0.31,50,14
0.31,60,14
0.31,70,14
0.31,80,14
0.31,90,14
0.32,-100,16
0.32,-90,16
0.32,-80,16
0.32,-70,16
0.32,-60,16
0.32,-50,16
0.32,-40,15
0.32,-30,15
0.32,-20,15
0.32,-10,14
0.32,0,12
0.32,10,14
0.32,20,15
0.32,30,15
0.32,40,15
0.32,50,16
0.32,60,16
0.32,70,16
0.32,80,16
0.32,90,16
0.33,-100,18
0.33,-90,18
0.33,-80,18
0.33,-70,18
0.33,-60,17
0.33,-50,17
0.33,-40,17
0.33,-30,17
0.33,-20,16
0.33,-10,16
0.33,0,14
0.33,10,16
0.33,20,17
0.33,30,17
0.33,40,17
0.33,50,17
0.33,60,17
0.33,70,18
0.33,80,18
0.33,90,18
0.34,-100,20
0.34,-90,20
0.34,-80,20
0.34,-70,20
0.34,-60,19
0.34,-50,19
0.34,-40,19
0.34,-30,19
0.34,-20,18
0.34,-10,18
0.34,0,15
0.34,10,18
0.34,20,18
0.34,30,19
0.34,40,19
0.34,50,19
0.34,60,19
0.34,70,20
0.34,80,20
0.34,90,20
0.35,-100,22
0.35,-90,22
0.35,-80,22
0.35,-70,22
0.35,-60,22
0.35,-50,21
0.35,-40,21
0.35,-30,21
0.35,-20,20
0.35,-10,20
0.35,0,17
0.35,10,20
0.35,20,20
0.35,30,21
0.35,40,21
0.35,50,21
0.35,60,22
0.35,70,22
0.35,80,22
0.35,90,22
0.36,-100,25
0.36,-90,24
0.36,-80,24
0.36,-70,24
0.36,-60,24
0.36,-50,24
0.36,-40,23
0.36,-30,23
0.36,-20,23
0.36,-10,22
0.36,0,19
0.36,10,22
0.36,20,23
0.36,30,23
0.36,40,24
0.36,50,24
0.36,60,24
0.36,70,24
0.36,80,24
0.36,90,25
0.37,-100,27
0.37,-90,27
0.37,-80,27
0.37,-70,27
0.37,-60,27
0.37,-50,27
0.37,-40,26
0.37,-30,26
0.37,-20,25
0.37,-10,24
0.37,0,21
0.37,10,24
0.37,20,25
0.37,30,26
0.37,40,26
0.37,50,27
0.37,60,27
0.37,70,27
0.37,80,27
0.37,90,27
0.38,-100,31
0.38,-90,31
0.38,-80,30
0.38,-70,30
0.38,-60,30
0.38,-50,30
0.38,-40,29
0.38,-30,29
0.38,-20,28
0.38,-10,27
0.38,0,23
0.38,10,27
0.38,20,28
0.38,30,29
0.38,40,29
0.38,50,30
0.38,60,30
0.38,70,30
0.38,80,30
0.38,90,31
0.39,-100,35
0.39,-90,34
0.39,-80,34
0.39,-70,34
0.39,-60,34
0.39,-50,33
0.39,-40,33
0.39,-30,33
0.39,-20,32
0.39,-10,31
0.39,0,26
0.39,10,31
0.39,20,32
0.39,30,33
0.39,40,33
0.39,50,33
0.39,60,34
0.39,70,34
0.39,80,34
0.39,90,34
0.4,-100,39
0.4,-90,39
0.4,-80,39
0.4,-70,39
0.4,-60,38
0.4,-50,38
0.4,-40,37
0.4,-30,37
0.4,-20,36
0.4,-10,35
0.4,0,30
0.4,10,35
0.4,20,36
0.4,30,37
0.4,40,38
0.4,50,38
0.4,60,38
0.4,70,39
0.4,80,39
0.4,90,39
0.41,-100,45
0.41,-90,45
0.41,-80,44
0.41,-70,44
0.41,-60,44
0.41,-50,43
0.41,-40,43
0.41,-30,42
0.41,-20,41
0.41,-10,40
0.41,0,34
0.41,10,40
0.41,20,41
0.41,30,42
0.41,40,43
0.41,50,43
0.41,60,44
0.41,70,44
0.41,80,44
0.41,90,45
0.42,-100,52
0.42,-90,52
0.42,-80,51
0.42,-70,51
0.42,-60,51
0.42,-50,50
0.42,-40,49
0.42,-30,49
0.42,-20,48
0.42,-10,46
0.42,0,39
0.42,10,46
0.42,20,48
0.42,30,49
0.42,40,50
0.42,50,50
0.42,60,51
0.42,70,51
0.42,80,51
0.42,90,52
0.43,-100,61
0.43,-90,60
0.43,-80,60
0.43,-70,60
0.43,-60,59
0.43,-50,59
0.43,-40,58
0.43,-30,57
0.43,-20,56
0.43,-10,54
0.43,0,46
0.43,10,54
0.43,20,56
0.43,30,57
0.43,40,58
0.43,50,59
0.43,60,59
0.43,70,60
0.43,80,60
0.43,90,60
0.44,-100,73
0.44,-90,72
0.44,-80,72
0.44,-70,71
0.44,-60,71
0.44,-50,70
0.44,-40,69
0.44,-30,68
0.44,-20,67
0.44,-10,64
0.44,0,55
0.44,10,65
0.44,20,67
0.44,30,68
0.44,40,69
0.44,50,70
0.44,60,71
0.44,70,71
0.44,80,72
0.44,90,72
0.45,-100,89
0.45,-90,89
0.45,-80,88
0.45,-70,88
0.45,-60,87
0.45,-50,86
0.45,-40,85
0.45,-30,84
0.45,-20,82
0.45,-10,79
0.45,0,67
0.45,10,79
0.45,20,82
0.45,30,84
0.45,40,85
0.45,50,86
0.45,60,87
0.45,70,88
0.45,80,88
0.45,90,89
0.46,-100,114
0.46,-90,113
0.46,-80,113
0.46,-70,112
0.46,-60,111
0.46,-50,110
0.46,-40,109
0.46,-30,107
0.46,-20,105
0.46,-10,100
0.46,0,86
0.46,10,101
0.46,20,105
0.46,30,107
0.46,40,109
0.46,50,110
0.46,60,111
0.46,70,112
0.46,80,113
0.46,90,114
0.47,-100,155
0.47,-90,155
0.47,-80,154
0.47,-70,153
0.47,-60,151
0.47,-50,150
0.47,-40,148
0.47,-30,146
0.47,-20,143
0.47,-10,137
0.47,0,117
0.47,10,138
0.47,20,143
0.47,30,146
0.47,40,148
0.47,50,150
0.47,60,152
0.47,70,153
0.47,80,154
0.47,90,155
